report_id,period_label,period_start,period_end,report_period_type,file_type,crime_id,city_name,crime_period_type,metric_group,metric_name,metric_code,value,unit
280,январь-апрель 2021,2021-01-01,2021-04-30,month_cum,xlsx,1155,Санкт-Петербург,month_cum,Наркопреступления,"Всего преступлений, связанных с незаконным оборотом наркотиков",drugs_total,5216.0,count
284,январь-август 2021,2021-01-01,2021-08-31,month_cum,xlsx,1183,Санкт-Петербург,month_cum,Наркопреступления,"Всего преступлений, связанных с незаконным оборотом наркотиков",drugs_total,7730.0,count
277,январь 2021,2021-01-01,2021-01-31,month_cum,xlsx,1134,Санкт-Петербург,month_cum,Наркопреступления,"Всего преступлений, связанных с незаконным оборотом наркотиков",drugs_total,3216.0,count
281,январь-май 2021,2021-01-01,2021-05-31,month_cum,xlsx,1162,Санкт-Петербург,month_cum,Наркопреступления,"Всего преступлений, связанных с незаконным оборотом наркотиков",drugs_total,5944.0,count
278,январь-февраль 2021,2021-01-01,2021-02-28,month_cum,xlsx,1141,Санкт-Петербург,month_cum,Наркопреступления,"Всего преступлений, связанных с незаконным оборотом наркотиков",drugs_total,3828.0,count
283,январь-июль 2021,2021-01-01,2021-07-31,month_cum,xlsx,1176,Санкт-Петербург,month_cum,Наркопреступления,"Всего преступлений, связанных с незаконным оборотом наркотиков",drugs_total,7166.0,count
287,январь-ноябрь 2021,2021-01-01,2021-11-30,month_cum,xlsx,1204,Санкт-Петербург,month_cum,Наркопреступления,"Всего преступлений, связанных с незаконным оборотом наркотиков",drugs_total,9672.0,count
288,январь-декабрь 2021,2021-01-01,2021-12-31,month_cum,xlsx,1211,Санкт-Петербург,month_cum,Наркопреступления,"Всего преступлений, связанных с незаконным оборотом наркотиков",drugs_total,10099.0,count
286,январь-октябрь 2021,2021-01-01,2021-10-31,month_cum,xlsx,1197,Санкт-Петербург,month_cum,Наркопреступления,"Всего преступлений, связанных с незаконным оборотом наркотиков",drugs_total,9106.0,count
279,январь-март 2021,2021-01-01,2021-03-31,month_cum,xlsx,1148,Санкт-Петербург,month_cum,Наркопреступления,"Всего преступлений, связанных с незаконным оборотом наркотиков",drugs_total,4516.0,count
