"Группа показателей","Номер показателя (ID)","Название показателя","Ед.измерения","Название региона","Источник","Сегмент","Показывать","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","Описание"
"Рейтинг","97328","Оценка масштаба проблемы (рейтинг А-Е)","","Санкт-Петербург","","","","B","B","B","A","A","A","B","B","A","A","B","А — низкая выраженность проблемы\
B — проблема выражена ниже среднего\
C — средняя выраженность проблемы\
D — проблема выражена выше среднего\
E — высокая выраженность проблемы"
"Рейтинг","97329","Оценка масштаба проблемы (рейтинг А-Е)","","Санкт-Петербург","","","","B","B","B","A","A","A","B","B","A","A","B","А — низкая выраженность проблемы\
B — проблема выражена ниже среднего\
C — средняя выраженность проблемы\
D — проблема выражена выше среднего\
E — высокая выраженность проблемы"
"Масштабы","","","случай","Санкт-Петербург","","","","18,8","0,0","13,9","2,0","12,4","0,5","11,0","н/д","9,6596","н/д","н/д",""
"Масштабы","97231","Потерпевшие от преступлений","человек","Санкт-Петербург","","потерпевших","всего","32948","30717","29210","30163","29783","29 005","40334","40269","40133","42232","43771","Потерпевшие: количество потерпевших - физических лиц, форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Преступлений: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Преступлений на 100 тыс. населения читается как уровень преступности. Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)."
"Масштабы","97232","Потерпевшие от преступлений","чел./100000","Санкт-Петербург","","потерпевших","на 100 000 населения","642","592","559","571","556","539","747","748","746","754","782","Потерпевшие: количество потерпевших - физических лиц, форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Преступлений: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Преступлений на 100 тыс. населения читается как уровень преступности. Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)."
"Масштабы","97233","Потерпевшие от преступлений","случай","Санкт-Петербург","","преступлений","всего","56463","56480","52351","52138","51420","48627","61309","62755","62971","67026","65069","Потерпевшие: количество потерпевших - физических лиц, форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Преступлений: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Преступлений на 100 тыс. населения читается как уровень преступности. Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)."
"Масштабы","97234","Потерпевшие от преступлений","случай","Санкт-Петербург","","преступлений","на 100 000 населения","1100,2","1087,9","1001,8","987,2","960,8","903,2","1135,8","1165,5","1171,0","1196,9","1162,4","Потерпевшие: количество потерпевших - физических лиц, форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". Преступлений: форма 4-ЕГС \""Сведения о состоянии преступности и результатах расследования преступлений\"". Преступлений на 100 тыс. населения читается как уровень преступности. Для удельных показателей используется численность постоянного населения на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)."
"Масштабы","97235","Потерпевшие - мужчины, женщины и несовершеннолетние","человек","Санкт-Петербург","","мужчины","всего человек","17388","15806","15453","15922","15915","15175","19265","19788","19226","20506","20387",""
"Масштабы","97236","Потерпевшие - мужчины, женщины и несовершеннолетние","человек","Санкт-Петербург","","женщины","всего человек","15560","14911","13757","14241","13868","13 830","21069","20481","20907","21726","23384","Источник: форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". \
Для удельных показателей используется численность постоянного женского населения и численность детского населения (0-17 лет) на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
"Масштабы","97237","Потерпевшие - мужчины, женщины и несовершеннолетние","человек","Санкт-Петербург","","несовершеннолетние","всего человек","1127","917","1441","1738","1848","1760","1785","2317","2399","2539","2609","Источник: форма 3-ЕГС \""Сведения о зарегистрированных, раскрытых и нераскрытых преступлениях\"". \
Для удельных показателей используется численность постоянного женского населения и численность детского населения (0-17 лет) на 1 января. За 2014 г. по Республике Крым и Севастополю - данные переписи (октябрь 2014)"
